"project","method_qual_name","release","loc","cbo","wmc","rfc","lcom","dit","noc","is_long_method","is_god_class"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.ByteString]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","getDescriptor/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","newBuilderForType/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","newBuilder/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","internalGetFieldAccessorTable/0","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[byte[]]","4.0.0","3","11","33","19","291.0","2","0","0","0"
"BOOKKEEPER","build/0","4.0.0","6","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","getRangesList/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","addRanges/1[org.apache.hedwig.protocol.PubSubProtocol.LedgerRange.Builder]","4.0.0","7","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","getRangesCount/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","addAllRanges/1[java.lang.Iterable<? extends org.apache.hedwig.protocol.PubSubProtocol.LedgerRange>]","4.0.0","7","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","clone/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","setRanges/2[int,org.apache.hedwig.protocol.PubSubProtocol.LedgerRange]","4.0.0","7","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","setRanges/2[int,org.apache.hedwig.protocol.PubSubProtocol.LedgerRange.Builder]","4.0.0","4","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","buildParsed/0","4.0.0","6","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","getDescriptorForType/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","mergeFrom/1[com.google.protobuf.Message]","4.0.0","9","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","3","9","42","31","0.0","1","0","0","0"
"BOOKKEEPER","mergeFrom/1[org.apache.hedwig.protocol.PubSubProtocol.LedgerRanges]","4.0.0","11","9","42","31","0.0","1","0","0","0"
